Element,Node_1,Node_2
0,4,5
1,4,6
2,3,6
3,4,0
4,5,1
5,37,40
6,38,41
7,41,39
8,14,13
9,24,26
10,15,9
11,23,27
12,21,27
13,9,16
14,23,24
15,7,15
16,7,12
17,16,15
18,26,27
19,16,10
20,24,18
21,15,12
22,18,23
23,21,26
24,20,17
25,34,28
26,30,25
27,30,29
28,2,5
29,8,11
30,1,4
31,8,33
32,0,6
33,45,43
34,43,44
35,45,44
36,47,49
37,46,48
38,51,55
39,53,52
40,50,52
41,50,53
42,55,54
43,54,51
44,55,52
45,54,53
46,5,34
47,34,6
48,2,34
49,39,43
50,38,42
51,32,22
52,42,40
53,27,14
54,13,11
55,43,36
56,37,42
57,43,41
58,23,13
59,36,40
60,32,23
61,26,33
62,36,37
63,36,39
64,39,38
65,43,40
66,41,42
67,33,24
68,24,32
69,16,37
70,35,38
71,27,13
72,12,39
73,32,33
74,36,16
75,26,14
76,12,38
77,39,15
78,17,35
79,35,37
80,33,14
81,32,13
82,38,37
83,15,36
84,12,35
85,17,12
86,10,35
87,28,26
88,19,7
89,10,17
90,10,9
91,31,27
92,23,31
93,30,17
94,16,35
95,10,30
96,7,17
97,6,28
98,9,7
99,20,7
100,28,24
101,9,29
102,19,9
103,11,29
104,34,18
105,22,20
106,5,31
107,4,21
108,29,10
109,19,20
110,8,30
111,31,4
112,29,19
113,18,5
114,29,8
115,30,20
116,25,22
117,28,21
118,22,19
119,31,21
120,6,21
121,11,19
122,14,11
123,33,25
124,25,8
125,31,18
126,18,28
127,25,20
128,11,22
129,25,32
130,14,8
131,13,22
132,3,34
133,41,45
134,42,46
135,46,44
136,40,44
137,40,46
138,45,47
139,42,47
140,47,41
141,47,46
142,48,50
143,44,50
144,49,45
145,44,48
146,49,51
147,45,50
148,46,51
149,51,47
150,49,50
151,51,48
152,48,53
153,55,49
154,49,52
155,48,54
