Node,x_coord,y_coord,z_coord
0,0.0,0.0,0.0
1,5.0,0.0,0.0
2,5.0,3.0,0.0
3,0.0,3.0,0.0
4,5.0,3.0,5.0
5,0.0,3.0,5.0
6,5.0,0.0,5.0
7,0.0,0.0,5.0
8,5.0,3.0,25.0
9,5.0,3.0,20.0
10,0.0,3.0,20.0
11,0.0,0.0,15.0
12,5.0,0.0,20.0
13,0.0,0.0,20.0
14,5.0,0.0,15.0
15,5.0,3.0,15.0
16,0.0,3.0,15.0
17,0.0,0.0,10.0
18,5.0,3.0,10.0
19,0.0,3.0,10.0
20,5.0,0.0,10.0
21,5.0,3.0,30.0
22,0.0,0.0,25.0
23,5.0,0.0,25.0
24,0.0,3.0,25.0
25,0.0,0.0,35.0
26,0.0,0.0,30.0
27,5.0,0.0,30.0
28,0.0,3.0,30.0
29,0.0,0.0,40.0
30,5.0,0.0,40.0
31,5.0,0.0,35.0
32,5.0,3.0,35.0
33,0.0,3.0,35.0
34,0.0,0.0,45.0
35,5.0,0.0,45.0
36,5.0,3.0,45.0
37,5.0,3.0,40.0
38,0.0,3.0,40.0
39,0.0,0.0,50.0
40,5.0,0.0,50.0
41,5.0,3.0,50.0
42,0.0,3.0,50.0
43,0.0,3.0,45.0
